Artist,Total Views,100M,Avg
Cee Lo Green,310.2,1,0.026
Ronnie Flex,307.2,,0.018
Evaluna Montaner,306.5,2,0.031
Paolo Nutini,306.1,,0.062
Robyn,306.0,,0.039
Claudia Leitte,305.4,,0.032
Elle King,304.5,1,0.100
Salt-N-Pepa,304.3,2,0.076
Vanessa Hudgens,303.0,1,0.007
Lykke Li,302.5,,0.034
Ashley Tisdale,302.5,,0.012
Francesco Renga,302.1,,0.034
Jidenna,301.4,,0.030
MC Gui,301.3,,0.008
Rednex,300.6,1,0.132
Belinda,299.8,,0.063
Die Toten Hosen,297.7,,0.084
Pacheco,295.6,1,0.022
Ermal Meta,294.6,,0.036
Shontelle,293.7,1,0.041
The Veronicas,293.5,1,0.053
Israel Novaes,293.3,,0.016
The-Dream,292.2,,0.061
Olexesh,290.8,1,0.040
Manu Gavassi,289.6,,0.015
DJ Sem,288.6,1,0.020
Gianluca Grignani,287.2,1,0.341
Flower,287.1,,0.058
Bausa,286.0,1,0.038
Hooverphonic,285.6,1,0.100
Trịnh Đình Quang,285.1,1,0.021
Kelis,284.3,,0.057
Near,283.2,1,0.045
O-Zone,282.7,1,0.123
Robert Miles,282.1,1,0.105
Chyno Miranda,281.9,1,0.022
Afroman,280.8,1,0.114
Aloe Blacc,280.0,,0.032
Estelle,279.8,1,0.084
Kardinal Offishall,279.5,1,0.094
Brandon Beal,279.5,1,0.053
BoA,279.3,,0.046
Cleopatra Stratan,278.9,,0.080
Stereoact,277.7,1,0.030
Veysel Mutlu,277.4,1,0.029
Isyana Sarasvati,276.4,1,0.048
Jeff Buckley,273.4,1,0.048
Plain White T's,272.2,,0.029
Darude,270.2,1,0.061
N.E.R.D,268.5,1,0.028
Natalie La Rose,268.4,1,0.023
MCs Pikeno e Menor,268.4,1,0.004
Midnight Oil,267.3,1,0.076
Charly Black,266.2,,0.051
Daniel Powter,266.0,1,0.068
Arcade Fire,265.1,,0.048
Hunter Hayes,264.7,,0.037
Anastasija Ražnatović,264.6,,0.033
Faithless,264.1,1,0.157
Doğukan Manço,264.1,1,0.025
After School,261.1,1,0.078
Paweł Domagała,259.8,1,0.032
Marteria,258.7,,0.021
Kristína,258.3,,0.021
Anahí,256.1,,0.109
Phillip Phillips,254.8,1,0.044
NU'EST,253.4,1,0.040
Clementino,253.4,,0.024
Ayse Hatun Önal,252.0,1,0.025
David Bowie,251.9,,0.047
Cobra Starship,251.2,1,0.022
Spyair,249.3,,0.048
Ella Henderson,248.1,1,0.023
Wheatus,246.4,1,0.084
Hanson,244.0,1,0.054
Dev,243.8,,0.014
B.A.P,242.6,,0.015
Francesca Michielin,241.2,,0.029
Nick Cave & The Bad Seeds,240.2,,0.069
Hoa Vinh,239.2,1,0.119
Kiiara,237.8,1,0.036
Mylène Farmer,237.6,,0.092
Ayaka,237.2,,0.033
Tay Zonday,236.3,1,0.010
Giusy Ferreri,234.7,,0.039
Alle Farben,233.5,,0.015
I LOVE MAKONNEN,233.2,1,0.035
Marvin Gaye,233.0,1,0.085
Paul McCartney,232.4,,0.098
Max Gazzè,232.3,,0.026
Kwabs,232.0,1,0.032
Cesare Cremonini,231.4,,0.060
Ráfaga,230.4,,0.054
Yeah Yeah Yeahs,230.3,,0.080
Ghetto Phénomène,230.1,1,0.024
Willow Smith,230.0,1,0.099
MC Lon,229.3,,0.016
La Joaqui,229.1,,1.747
Martin Tungevaag,227.6,1,0.020
Glasperlenspiel,226.6,1,0.028
Daya,222.6,,0.018
HAIM,220.4,,0.028
Max Giesinger,219.7,,0.033
amazarashi,219.6,,0.050
Gestört aber GeiL,219.2,,0.020
Alex Mica,217.4,1,0.024
GloRilla,216.5,,0.856
Steps,215.4,,0.107
Juan Karlos,213.4,1,0.037
Xantos,212.7,1,0.030
David Archuleta,212.6,1,0.041
Pardison Fontaine,210.2,1,0.035
Soul Asylum,209.5,1,0.071
Crayon Pop,208.6,,0.023
Dulce María,207.3,,0.033
Loreen,207.3,1,0.027
MC Bin Laden,206.4,1,0.008
Valesca Popozuda,206.0,1,0.020
Snakehips,205.9,,0.020
Pietro Lombardi,204.1,,0.022
Duffy,203.2,,0.020
Psirico,201.1,1,0.039
Alex Clare,200.8,,0.020
The Avener,200.5,,0.036
